symbol,name,price,dist_pct
btc,Bitcoin,93582.0,37.30871063953043
eth,Ethereum,3199.7,22.072117713739186
xrp,XRP,2.11,50.41334745488757
sol,Solana,143.31,17.3020260751368
trx,TRON,0.303302,69.97665785542586
doge,Dogecoin,0.14309,-7.6182493788952925
ada,Cardano,0.405775,-31.67823948560331
xmr,Monero,670.64,-22.844819395503222
wbtc,Wrapped Bitcoin,93285.0,35.241364490035274
link,Chainlink,13.62,-5.945685925002739
xlm,Stellar,0.230683,5.8041490995009575
sui,Sui,1.83,-8.342713569598423
zec,Zcash,389.22,271.0534190570719
avax,Avalanche,14.48,-42.06498815592437
ltc,Litecoin,76.26,-15.415193039505438
hbar,Hedera,0.11907,-14.042169067915028
dot,Polkadot,2.23,-65.43207111318169
uni,Uniswap,5.58,-32.53891607040595
aave,Aave,174.24,2.6591426357288652
apt,Aptos,1.92,-73.05384458484133
atom,Cosmos Hub,2.61,-65.01732055050489
arb,Arbitrum,0.216443,-73.45836890187137
algo,Algorand,0.135707,-51.56750741516474
fil,Filecoin,1.53,-83.88976449183502
vet,VeChain,0.0119494,-58.67847550092409
op,Optimism,0.357152,-72.89672726705024
